"cand_NILme","age","gender","cat","Party_cd","nomi_status","candi_des","Ward_no","votes","FiNIL_lock","mStatus","Education","OccuPation","","","","","","","","","","","","","","","","","","","","",""
"RAMESH PRASAD","39","M","OBC","1","Y","A","NULL","564","Y","M ","H.S.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"YOGENDRASINGH ","38","M","UR","2","Y","P","1","115","Y","M ","P.G.. ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"ajP.G..l khan","30","M","OBC","2","W","P","5","NULL","NULL","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"vivek","27","M","UR","10","Y","P","5","80","Y","U","S","UNEMPLOYED","","","","","","","","","","","","","","","","","","","","",""
"SARFRAJ KHAN","27","M","OBC","10","W","P","9","NULL","NULL","U","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"vijay yadav","43","M","OBC","5","Y","P","32","787","Y","M ","P","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Ghishi Gi Premchand","47","F","SC","5","Y","P","2","255","Y","M ","I.L.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"uP.G..tiwari","39","F","UR","2","D","P","30","NULL","NULL","M ","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"GBITA","33","F","SC","2","Y","P","3","507","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Mukesh kuP.G..r","44","M","UR","2","W","P","3","NULL","NULL","M ","I.L. ","NIL","","","","","","","","","","","","","","","","","","","","",""
"RUKHSANIL PARVEEN","44","F","UR","89","W","P","23","NULL","NULL","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"NEELAM CHOUBE ","36","F","UR","2","D","P","5","NULL","NULL","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..MTA SONI","44","F","OBC","2","Y","P","5","865","Y","M ","L ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"AKHLESH KUNWAR YADAV","30","F","OBC","2","Y","P","10","461","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Sukhalal ","59","M","ST","1","Y","P","9","39","Y","M "," P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"RajNILrayan ","30","M","UR","89","Y","P","14","202","Y","M ","P.G..","NIL","","","","","","","","","","","","","","","","","","","","",""
"BIJENDRA GAUD","38","M","OBC","89","Y","P","15","75","Y","M ","H.S.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"ARTI SHRIVASTAV ","27","F","UR","5","Y","P","9","173","Y","M ","H.S. ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Arif Shah","26","M","OBC","89","Y","A","NULL","301","Y","M ","S","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"P.G..YA SUBEDAR SINGH","37","F","OBC","2","Y","P","9","165","Y","M ","P ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SHAUKAT ALI ( PAPPU )","39","M","OBC","5","W","P","13","NULL","NULL","M ","L","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"sudha anuP singh chouhan","43","F","OBC","2","W","A","NULL","NULL","NULL","M ","P ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..nohar Rane","44","M","SC","2","W","P","1","NULL","NULL","M ","S","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Rajeev jain","26","M","UR","89","W","P","13","NULL","NULL","U","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"PremNILrayan","59","M","OBC","89","W","P","8","NULL","NULL","U","LLB","ADVOCATE","","","","","","","","","","","","","","","","","","","","",""
"Kadorilal Soni","56","M","OBC","89","Y","P","5","106","Y","M ","L","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"FEROJABI","36","F","UR","89","Y","P","11","61","Y","M ","P ","NIL","","","","","","","","","","","","","","","","","","","","",""
"ARUNEDRA","43","M","OBC","89","W","P","6","NULL","NULL","M ","H.S. ","NIL","","","","","","","","","","","","","","","","","","","","",""
