"cand_NILme","age","gender","cat","Party_cd","nomi_status","candi_des","Ward_no","votes","FiNIL_lock","mStatus","Education","OccuPation","","","","","","","","","","","","","","","","","","","","",""
"MUNNIBEE NILWAB MIYAN ","55","F","UR","10","Y","P","3","67","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SeeP.G..Gi","32","F","SC","5","W","P","28","NULL","NULL","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SEHNILJ BI","36","F","UR","89","Y","P","7","1107","Y","M ","S ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RAJESH.S.INGHAL","44","M","UR","89","D","P","44","NULL","NULL","M ","P","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Harish guPta","44","M","UR","89","Y","P","9","73","Y","M ","G","Self BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Shikha P.G..loriya","27","F","SC","5","W","P","11","NULL","NULL","M ","B.Sc","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"GNO BI","44","F","OBC","89","W","P","8","NULL","NULL","M ","NIL","FARMER","","","","","","","","","","","","","","","","","","","","",""
"NILRGDI GI","36","F","OBC","89","Y","P","2","55","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"DATTATRAY","37","M","UR","89","W","P","7","NULL","NULL","M ","G. FINIL ","NIL","","","","","","","","","","","","","","","","","","","","",""
"JYOTI SONI","36","F","OBC","5","Y","P","9","182","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Glveer Yadav","29","M","OBC","5","Y","P","26","631","Y","M ","S School ","NIL","","","","","","","","","","","","","","","","","","","","",""
"LAL JI","36","M","SC","89","Y","P","4","26","Y","M ","NO","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"NILNDA PRAJAPALSINGH CHOUHAN","48","F","ST","2","Y","P","29","852","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"ramdayal tiwari ","64","M","UR","5","W","P","12","NULL","NULL","M ","G","SERVICE ","","","","","","","","","","","","","","","","","","","","",""
"TARA DEVI","52","F","UR","2","Y","P","2","109","Y","M ","EDUCATE","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Anjali","33","F","UR","89","Y","P","4","282","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SAROJ RANI","37","F","OBC","1","Y","P","12","116","Y","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"BHAG GI","64","F","SC","1","Y","P","15","302","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"GLDEV SINGH KUSHWAH","55","M","UR","89","Y","P","10","25","Y","M ","H.S.","FARMER","","","","","","","","","","","","","","","","","","","","",""
"NILresh KuP.G..r Jindal","40","M","UR","89","W","A","NULL","NULL","NULL","M ","S","own BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"divakar sharP.G..","24","M","UR","89","Y","P","3","123","Y","U","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"ANITA PARP.G..R","45","F","UR","5","Y","P","32","534","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Rashmi","51","F","UR","5","Y","P","8","1477","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"PAVITRA ","36","F","UR","89","Y","P","31","143","Y","M ","P ","PRIVATE SERVICE","","","","","","","","","","","","","","","","","","","","",""
"KAVITA","47","F","OBC","5","Y","P","74","3328","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
